Date_Exploitation,VT,Heure_Deb_Course_Theo,Sens,Rame,SV,Rang_Course,Num_Arret,Nom_Arret,Heure_Arret_Theo,Montées,Descentes
2017/07/08,VT103,14:43:00  ,R,1015,3,23,5051,HENRI SAPPIA,14:59:00  ,0,0
2017/07/08,VT103,15:07:00  ,A,1015,3,24,5011,HENRI SAPPIA,15:07:00  ,0,0
2017/07/08,VT103,15:07:00  ,A,1015,3,24,5012,COMTE DE FALICON,15:08:35  ,0,0
2017/07/08,VT103,15:07:00  ,A,1015,3,24,5013,LE RAY,15:10:00  ,0,0
2017/07/08,VT103,15:07:00  ,A,1015,3,24,5014,GORBELLA,15:13:00  ,0,0
2017/07/08,VT103,15:07:00  ,A,1015,3,24,5015,VALROSE UNIV.,15:15:37  ,0,0
2017/07/08,VT103,15:07:00  ,A,1015,3,24,5016,BORRIGLIONE,15:17:30  ,0,0
2017/07/08,VT103,15:07:00  ,A,1015,3,24,5017,LIBERATION,15:19:00  ,0,0
2017/07/08,VT103,15:07:00  ,A,1015,3,24,5018,GARE THIERS,15:22:00  ,0,0
2017/07/08,VT103,15:07:00  ,A,1015,3,24,5019,JEAN MEDECIN,15:24:00  ,0,0
2017/07/08,VT103,15:07:00  ,A,1015,3,24,5020,MASSENA,15:26:00  ,0,0
2017/07/08,VT103,15:30:00  ,R,1015,3,25,5020,MASSENA,15:30:00  ,0,0
2017/07/08,VT103,15:30:00  ,R,1015,3,25,5043,JEAN MEDECIN,15:31:00  ,0,0
2017/07/08,VT103,15:30:00  ,R,1015,3,25,5044,GARE THIERS,15:34:00  ,0,0
2017/07/08,VT103,15:30:00  ,R,1015,3,25,5045,LIBERATION,15:36:00  ,0,0
2017/07/08,VT103,15:30:00  ,R,1015,3,25,5046,BORRIGLIONE,15:37:11  ,0,0
2017/07/08,VT103,15:30:00  ,R,1015,3,25,5047,VALROSE UNIV.,15:38:42  ,0,0
2017/07/08,VT103,15:30:00  ,R,1015,3,25,5048,GORBELLA,15:41:00  ,0,0
2017/07/08,VT103,15:30:00  ,R,1015,3,25,5049,LE RAY,15:43:00  ,0,0
2017/07/08,VT103,15:30:00  ,R,1015,3,25,5050,COMTE DE FALICON,15:44:23  ,0,0
2017/07/08,VT103,15:30:00  ,R,1015,3,25,5051,HENRI SAPPIA,15:46:00  ,0,0
2017/07/08,VT103,15:54:00  ,A,1015,3,26,5011,HENRI SAPPIA,15:54:00  ,0,0
2017/07/08,VT103,15:54:00  ,A,1015,3,26,5012,COMTE DE FALICON,15:55:35  ,0,0
2017/07/08,VT103,15:54:00  ,A,1015,3,26,5013,LE RAY,15:57:00  ,0,0
2017/07/08,VT103,15:54:00  ,A,1015,3,26,5014,GORBELLA,16:00:00  ,0,0
2017/07/08,VT103,15:54:00  ,A,1015,3,26,5015,VALROSE UNIV.,16:02:37  ,0,0
2017/07/08,VT103,15:54:00  ,A,1015,3,26,5016,BORRIGLIONE,16:04:30  ,0,0
2017/07/08,VT103,15:54:00  ,A,1015,3,26,5017,LIBERATION,16:06:00  ,0,0
2017/07/08,VT103,15:54:00  ,A,1015,3,26,5018,GARE THIERS,16:09:00  ,0,0
2017/07/08,VT103,15:54:00  ,A,1015,3,26,5019,JEAN MEDECIN,16:11:00  ,0,0
2017/07/08,VT103,15:54:00  ,A,1015,3,26,5020,MASSENA,16:13:00  ,0,0
2017/07/08,VT103,16:17:00  ,R,1015,3,27,5020,MASSENA,16:17:00  ,0,0
2017/07/08,VT103,16:17:00  ,R,1015,3,27,5043,JEAN MEDECIN,16:18:00  ,0,0
2017/07/08,VT103,16:17:00  ,R,1015,3,27,5044,GARE THIERS,16:21:00  ,0,0
2017/07/08,VT103,16:17:00  ,R,1015,3,27,5045,LIBERATION,16:23:00  ,0,0
2017/07/08,VT103,16:17:00  ,R,1015,3,27,5046,BORRIGLIONE,16:24:11  ,0,0
2017/07/08,VT103,16:17:00  ,R,1015,3,27,5047,VALROSE UNIV.,16:25:42  ,0,0
2017/07/08,VT103,16:17:00  ,R,1015,3,27,5048,GORBELLA,16:28:00  ,0,0
2017/07/08,VT103,16:17:00  ,R,1015,3,27,5049,LE RAY,16:30:00  ,0,0
2017/07/08,VT103,16:17:00  ,R,1015,3,27,5050,COMTE DE FALICON,16:31:23  ,0,0
2017/07/08,VT103,16:17:00  ,R,1015,3,27,5051,HENRI SAPPIA,16:33:00  ,0,0
